Country=	Norway
Station=	Solbergfoss
River=	Glomma
Area=	40221 km2
Lat=	59.6
Lon=	11.12
Source=	RivDIS
PointID=	760
Area Units=	km2
Discharge Units=	m3/sec
Starting Year=	1901
Ending Year=	1984
Total Years=	84
Total Usable Years=	83

Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Avg Annual
1901	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	328	700	359	175	-9999
1902	138	113	118	205	1012	1546	877	1067	1052	379	271	96	572.83
1903	80	129	270	363	1706	1973	1026	1236	812	622	579	217	751.08
1904	163	136	106	460	1381	1900	758	412	354	250	159	103	515.17
1905	70	101	120	146	1373	1596	1062	732	564	406	296	168	552.83
1906	127	117	93	417	2035	1636	695	979	541	366	486	276	647.33
1907	157	141	184	415	1729	2091	1323	784	465	1003	471	248	750.92
1908	164	118	141	410	1470	1900	1026	1024	671	443	168	174	642.42
1909	126	73	82	202	830	2118	868	822	880	972	498	237	642.33
1910	187	249	252	1170	2475	1654	982	950	462	387	298	239	775.42
1911	177	152	166	634	2244	976	622	408	286	246	228	194	527.75
1912	112	87	182	463	1293	1478	680	1694	1080	406	314	376	680.42
1913	270	170	168	515	2320	1150	946	489	352	275	371	198	602
1914	154	264	175	691	1420	1251	1032	409	332	249	126	233	528
1915	163	144	139	481	1168	1149	1531	1521	390	420	195	157	621.5
1916	171	170	130	603	2505	1651	1367	512	336	324	921	370	755
1917	162	116	100	162	1127	1362	648	827	692	700	532	188	551.33
1918	155	137	123	514	1252	945	1432	650	1193	954	563	229	678.92
1919	206	132	118	471	1729	848	894	474	584	539	203	161	529.92
1920	151	182	408	1182	2152	1507	1183	1177	955	361	178	120	796.33
1921	133	125	234	386	1315	1092	638	684	564	495	221	135	501.83
1922	103	78	112	262	1430	1229	1292	1208	724	294	166	164	588.5
1923	191	112	126	237	1139	1357	1516	795	940	992	616	183	683.67
1924	155	108	88	202	1670	2298	1701	1673	1125	840	453	327	886.67
1925	291	175	119	427	1644	1644	972	793	635	498	313	169	640
1926	153	128	172	645	1794	1996	1096	1040	569	562	829	274	771.5
1927	243	218	286	388	1197	3010	2436	1422	1146	920	339	141	978.83
1928	131	135	116	378	1683	975	792	1116	730	600	635	241	627.67
1929	138	95	142	266	1459	1229	852	972	710	926	948	677	701.17
1930	468	196	146	634	2096	1541	1317	847	539	759	518	317	781.5
1931	225	164	125	273	2852	1256	1179	883	351	414	552	227	708.42
1932	287	198	117	261	1398	1360	1053	645	415	720	323	453	602.5
1933	295	170	153	368	1223	1491	685	635	441	549	248	114	531
1934	145	128	191	647	2684	1059	913	1004	1551	973	429	763	873.92
1935	278	223	199	626	1316	2031	1191	559	567	966	949	351	771.33
1936	371	196	187	481	2294	1434	1363	1101	491	266	454	310	745.67
1937	213	145	151	1126	2547	1503	1072	550	531	377	305	188	725.67
1938	173	193	420	525	1039	1497	1248	728	1343	1222	712	624	810.33
1939	279	269	240	609	1601	2071	2168	1046	433	212	274	169	780.92
1940	115	89	95	218	1395	956	917	939	824	631	354	234	563.92
1941	134	119	109	197	778	1069	839	998	749	392	217	166	480.58
1942	125	81	99	553	828	1362	918	819	792	777	672	375	616.75
1943	218	228	266	677	1720	1680	1115	732	660	584	501	254	719.58
1944	210	167	140	349	1166	2408	1505	789	1139	1178	553	516	843.33
1945	233	178	303	859	1680	1885	1104	468	278	278	186	166	634.83
1946	120	114	156	782	1156	1500	885	740	1428	612	399	473	697.08
1947	223	118	126	451	1673	1025	942	348	292	287	154	113	479.33
1948	113	94	136	1012	1424	1103	1031	665	1141	749	434	353	687.92
1949	240	215	183	673	1919	1764	888	689	536	609	611	325	721
1950	220	186	332	782	1857	2089	1207	1467	1078	887	429	263	899.75
1951	204	202	174	459	2104	1923	769	1813	1175	379	537	411	845.83
1952	256	169	149	677	2013	1308	1013	892	475	413	300	179	653.67
1953	154	119	217	631	1467	1783	1483	989	1022	671	664	379	798.25
1954	162	152	171	334	1823	1241	1098	1222	652	536	492	526	700.75
1955	221	186	143	231	954	1646	1359	457	329	414	318	152	534.17
1956	140	86	101	282	1121	1470	999	818	1026	653	301	222	601.58
1957	193	156	144	375	1340	1544	1717	1189	1682	704	516	207	813.92
1958	148	106	105	237	1012	1559	1237	881	624	840	532	226	625.58
1959	180	142	261	784	2232	854	674	472	233	232	530	430	585.33
1960	333	172	171	463	1826	1564	1809	918	658	682	527	388	792.58
1961	213	176	364	512	1506	1360	789	948	640	1348	1169	293	776.5
1962	241	188	155	529	1829	1411	1175	931	944	528	470	221	718.5
1963	147	99	103	437	2198	1108	1009	1162	982	843	524	237	737.42
1964	159	129	119	432	1086	1395	1001	741	937	1425	443	336	683.58
1965	210	157	165	575	1431	1981	896	786	1348	581	286	159	714.58
1966	157	120	131	186	2874	1324	612	902	595	626	613	370	709.17
1967	226	162	387	535	2243	2472	980	723	626	1071	958	287	889.17
1968	201	171	239	922	1527	1868	939	402	408	420	354	181	636
1969	155	118	95	519	1926	1232	458	397	418	497	310	159	523.67
1970	130	98	93	262	1649	1222	894	597	627	687	511	300	589.17
1971	234	191	143	490	1912	1471	1006	657	275	440	273	241	611.08
1972	130	110	106	450	1701	2170	1176	700	313	226	184	310	631.33
1973	362	371	365	386	720	1314	1285	669	444	470	401	339	593.83
1974	351	404	420	576	932	734	742	484	863	799	584	486	614.58
1975	570	555	454	394	1406	884	615	401	385	698	509	458	610.75
1976	467	420	347	367	824	903	771	364	343	337	438	414	499.58
1977	402	370	355	398	1504	1395	669	451	428	399	653	435	621.58
1978	467	382	375	511	991	1037	683	467	471	461	429	366	553.33
1979	341	337	317	441	1049	1462	924	1190	657	614	489	405	685.5
1980	414	359	267	427	948	1211	993	607	653	891	492	448	642.5
1981	454	422	338	539	1313	1274	995	554	402	551	465	453	646.67
1982	408	390	383	606	1139	1179	689	490	352	567	542	507	604.33
1983	554	441	348	495	1769	1302	704	452	479	722	467	424	679.75
1984	447	385	296	480	1095	1388	702	622	473	1203	905	739	727.92

Avg	223.94	185.8	196.93	490.84	1574.24	1489.57	1044	817.71	678.45	613.08	454.71	296.57	672.64

Std Dev	110.63	100.56	98.76	218.53	498.92	417.72	341.31	324.71	325.71	275.48	208.66	143.53	107.71
